Date,City,Non-violent,Daily Count Change,Non-violent Daily % Change,Violent,Daily Count Change,Violent Daily % Change
1-Mar,Los Angeles,434,0,0.00%,186,0,0.00%
2-Mar,Los Angeles,438,4,0.92%,159,-27,-14.52%
3-Mar,Los Angeles,391,-47,-10.73%,170,11,6.92%
4-Mar,Los Angeles,353,-38,-9.72%,157,-13,-7.65%
5-Mar,Los Angeles,415,62,17.56%,136,-21,-13.38%
6-Mar,Los Angeles,397,-18,-4.34%,178,42,30.88%
7-Mar,Los Angeles,356,-41,-10.33%,148,-30,-16.85%
8-Mar,Los Angeles,366,10,2.81%,172,24,16.22%
9-Mar,Los Angeles,368,2,0.55%,143,-29,-16.86%
10-Mar,Los Angeles,416,48,13.04%,124,-19,-13.29%
11-Mar,Los Angeles,429,13,3.13%,147,23,18.55%
12-Mar,Los Angeles,361,-68,-15.85%,125,-22,-14.97%
13-Mar,Los Angeles,408,47,13.02%,112,-13,-10.40%
14-Mar,Los Angeles,352,-56,-13.73%,163,51,45.54%
15-Mar,Los Angeles,346,-6,-1.70%,191,28,17.18%
16-Mar,Los Angeles,367,21,6.07%,141,-50,-26.18%
17-Mar,Los Angeles,330,-37,-10.08%,135,-6,-4.26%
18-Mar,Los Angeles,310,-20,-6.06%,139,4,2.96%
19-Mar,Los Angeles,300,-10,-3.23%,110,-29,-20.86%
20-Mar,Los Angeles,338,38,12.67%,121,11,10.00%
21-Mar,Los Angeles,286,-52,-15.38%,133,12,9.92%
22-Mar,Los Angeles,269,-17,-5.94%,138,5,3.76%
23-Mar,Los Angeles,336,67,24.91%,145,7,5.07%
24-Mar,Los Angeles,324,-12,-3.57%,150,5,3.45%
25-Mar,Los Angeles,358,34,10.49%,134,-16,-10.67%
26-Mar,Los Angeles,333,-25,-6.98%,139,5,3.73%
27-Mar,Los Angeles,378,45,13.51%,139,0,0.00%
28-Mar,Los Angeles,325,-53,-14.02%,111,-28,-20.14%
29-Mar,Los Angeles,291,-34,-10.46%,124,13,11.71%
30-Mar,Los Angeles,374,83,28.52%,98,-26,-20.97%
31-Mar,Los Angeles,344,-30,-8.02%,119,21,21.43%
1-Apr,Los Angeles,386,42,12.21%,146,27,22.69%
2-Apr,Los Angeles,323,-63,-16.32%,136,-10,-6.85%
3-Apr,Los Angeles,362,39,12.07%,130,-6,-4.41%
4-Apr,Los Angeles,303,-59,-16.30%,162,32,24.62%
5-Apr,Los Angeles,334,31,10.23%,122,-40,-24.69%
6-Apr,Los Angeles,360,26,7.78%,126,4,3.28%
7-Apr,Los Angeles,346,-14,-3.89%,118,-8,-6.35%
8-Apr,Los Angeles,320,-26,-7.51%,109,-9,-7.63%
9-Apr,Los Angeles,313,-7,-2.19%,95,-14,-12.84%
10-Apr,Los Angeles,400,87,27.80%,124,29,30.53%
11-Apr,Los Angeles,377,-23,-5.75%,136,12,9.68%
12-Apr,Los Angeles,317,-60,-15.92%,142,6,4.41%
13-Apr,Los Angeles,375,58,18.30%,121,-21,-14.79%
14-Apr,Los Angeles,360,-15,-4.00%,138,17,14.05%
15-Apr,Los Angeles,366,6,1.67%,134,-4,-2.90%
16-Apr,Los Angeles,395,29,7.92%,138,4,2.99%
17-Apr,Los Angeles,395,0,0.00%,144,6,4.35%
18-Apr,Los Angeles,390,-5,-1.27%,126,-18,-12.50%
19-Apr,Los Angeles,362,-28,-7.18%,143,17,13.49%
20-Apr,Los Angeles,409,47,12.98%,139,-4,-2.80%
21-Apr,Los Angeles,353,-56,-13.69%,142,3,2.16%
22-Apr,Los Angeles,358,5,1.42%,143,1,0.70%
23-Apr,Los Angeles,388,30,8.38%,142,-1,-0.70%
24-Apr,Los Angeles,375,-13,-3.35%,175,33,23.24%
25-Apr,Los Angeles,408,33,8.80%,168,-7,-4.00%
26-Apr,Los Angeles,330,-78,-19.12%,192,24,14.29%
27-Apr,Los Angeles,405,75,22.73%,140,-52,-27.08%
28-Apr,Los Angeles,399,-6,-1.48%,184,44,31.43%
29-Apr,Los Angeles,351,-48,-12.03%,138,-46,-25.00%
30-Apr,Los Angeles,383,32,9.12%,141,3,2.17%
1-May,Los Angeles,416,33,8.62%,134,-7,-4.96%
2-May,Los Angeles,340,-76,-18.27%,178,44,32.84%
3-May,Los Angeles,336,-4,-1.18%,143,-35,-19.66%
4-May,Los Angeles,377,41,12.20%,170,27,18.88%
5-May,Los Angeles,372,-5,-1.33%,149,-21,-12.35%
6-May,Los Angeles,377,5,1.34%,156,7,4.70%
7-May,Los Angeles,367,-10,-2.65%,137,-19,-12.18%
8-May,Los Angeles,374,7,1.91%,149,12,8.76%
9-May,Los Angeles,397,23,6.15%,141,-8,-5.37%
10-May,Los Angeles,366,-31,-7.81%,155,14,9.93%
11-May,Los Angeles,356,-10,-2.73%,118,-37,-23.87%
12-May,Los Angeles,377,21,5.90%,113,-5,-4.24%
13-May,Los Angeles,354,-23,-6.10%,137,24,21.24%
14-May,Los Angeles,373,19,5.37%,130,-7,-5.11%
15-May,Los Angeles,397,24,6.43%,136,6,4.62%
16-May,Los Angeles,370,-27,-6.80%,181,45,33.09%
17-May,Los Angeles,367,-3,-0.81%,169,-12,-6.63%
18-May,Los Angeles,376,9,2.45%,153,-16,-9.47%
19-May,Los Angeles,351,-25,-6.65%,109,-44,-28.76%
20-May,Los Angeles,398,47,13.39%,145,36,33.03%
21-May,Los Angeles,355,-43,-10.80%,151,6,4.14%
22-May,Los Angeles,406,51,14.37%,149,-2,-1.32%
23-May,Los Angeles,376,-30,-7.39%,174,25,16.78%
24-May,Los Angeles,345,-31,-8.24%,160,-14,-8.05%
25-May,Los Angeles,346,1,0.29%,165,5,3.13%
26-May,Los Angeles,360,14,4.05%,138,-27,-16.36%
27-May,Los Angeles,389,29,8.06%,133,-5,-3.62%
28-May,Los Angeles,367,-22,-5.66%,141,8,6.02%
29-May,Los Angeles,479,112,30.52%,213,72,51.06%
30-May,Los Angeles,598,119,24.84%,273,60,28.17%
31-May,Los Angeles,395,-203,-33.95%,127,-146,-53.48%
1-Jun,Los Angeles,450,55,13.92%,198,71,55.91%
2-Jun,Los Angeles,328,-122,-27.11%,133,-65,-32.83%
3-Jun,Los Angeles,327,-1,-0.30%,139,6,4.51%
4-Jun,Los Angeles,308,-19,-5.81%,139,0,0.00%
5-Jun,Los Angeles,382,74,24.03%,146,7,5.04%
6-Jun,Los Angeles,318,-64,-16.75%,157,11,7.53%
7-Jun,Los Angeles,307,-11,-3.46%,154,-3,-1.91%
8-Jun,Los Angeles,337,30,9.77%,158,4,2.60%
9-Jun,Los Angeles,335,-2,-0.59%,151,-7,-4.43%
10-Jun,Los Angeles,359,24,7.16%,152,1,0.66%
11-Jun,Los Angeles,378,19,5.29%,165,13,8.55%
12-Jun,Los Angeles,424,46,12.17%,171,6,3.64%
13-Jun,Los Angeles,353,-71,-16.75%,165,-6,-3.51%
14-Jun,Los Angeles,359,6,1.70%,170,5,3.03%
15-Jun,Los Angeles,398,39,10.86%,170,0,0.00%
16-Jun,Los Angeles,405,7,1.76%,157,-13,-7.65%
17-Jun,Los Angeles,373,-32,-7.90%,147,-10,-6.37%
18-Jun,Los Angeles,410,37,9.92%,155,8,5.44%
19-Jun,Los Angeles,398,-12,-2.93%,161,6,3.87%
20-Jun,Los Angeles,385,-13,-3.27%,182,21,13.04%
21-Jun,Los Angeles,373,-12,-3.12%,202,20,10.99%
22-Jun,Los Angeles,370,-3,-0.80%,175,-27,-13.37%
23-Jun,Los Angeles,369,-1,-0.27%,153,-22,-12.57%
24-Jun,Los Angeles,386,17,4.61%,154,1,0.65%
25-Jun,Los Angeles,430,44,11.40%,182,28,18.18%
26-Jun,Los Angeles,435,5,1.16%,179,-3,-1.65%
27-Jun,Los Angeles,370,-65,-14.94%,152,-27,-15.08%
28-Jun,Los Angeles,345,-25,-6.76%,167,15,9.87%
29-Jun,Los Angeles,410,65,18.84%,153,-14,-8.38%
30-Jun,Los Angeles,361,-49,-11.95%,142,-11,-7.19%
